STATION_ID,variable,min,mean,median,max
2-LCN000.20,CHLa,3.28,22.62904761904762,19.6,56.85
2-LDJ000.62,CHLa,2.5833333333333335,13.704365079365079,11.95,50.94
2-LHR001.76,CHLa,1.7366666666666666,11.334019607843137,6.075,38.88
2-LHR002.56,CHLa,1.16,9.548039215686275,4.79,34.1
2-LMD000.02,CHLa,2.47,19.76829457364341,16.63,103
2-LMD001.41,CHLa,2.28,20.81452380952381,17.185000000000002,103
2-LPR000.02,CHLa,3.58,13.995416666666667,13.600000000000001,27.86
2-LSL000.04,CHLa,2.9966666666666666,17.060462962962962,15.18,71.95
2-LSL000.16,CHLa,0.84,5.069259259259259,4.744999999999999,10.3
2-LSL000.20,CHLa,2.26,10.883823529411764,8.03,60.89
2-LTL001.20,CHLa,0.91,3.7005,2.775,11.36
2-LTL001.60,CHLa,0.87,3.6539285714285716,2.615,10.11
2-LTL002.46,CHLa,0.66,3.618974358974359,2.99,11.32
2-MBN000.96,CHLa,4.4,11.338427672955975,10.8,24.2
2-MIN000.98,CHLa,1.35,19.101666666666667,16,61.8
2-MNR014.50,CHLa,0.84,5.117941176470588,3.745,20.5
2-NWB002.93,CHLa,0.34,14.352500000000001,12,35.14
2-NWB004.67,CHLa,1.92,13.76125,12.23,35.4
2-NWB006.06,CHLa,2.44,12.61075,10.785,36.6
2-NWB007.04,CHLa,3.313333333333333,11.063232323232324,9.26,27.29
2-PKC001.84,CHLa,5.34,32.378190476190476,23.21,130
2-POL017.59,CHLa,0.77,7.630945945945946,4.85,40.5
2-RRS003.59,CHLa,2.12,7.158492063492064,6.695,19.1
2-RRS005.62,CHLa,1.92,10.883174603174604,10.3,26
2-SDY004.27,CHLa,3.33,11.52867924528302,11.2,25.54
2-SDY005.85,CHLa,3.2,12.26867924528302,11.6,26.56
2-SFT031.08,CHLa,2.4,11.748492063492064,11.2,35.06
2-SFT033.42,CHLa,2.99,12.172857142857143,11.870000000000001,25.8
2-SFT034.38,CHLa,1.85,14.22904761904762,13.42,38.4
2-SHS001.00,CHLa,0.5,29.171904761904763,23.28,69.4
2-SIN000.44,CHLa,4.61,26.044,18.1,106
2-SPE000.17,CHLa,4.503333333333333,31.471833333333333,27.4,104
2-SPE001.18,CHLa,5,57.591499999999996,30.35,415.88
2-STG000.21,CHLa,5.75,26.64862068965517,14,110
2-STG000.91,CHLa,7.16,26.948333333333334,18.75,94
2-TOT001.01,CHLa,4.91,21.56528455284553,16.8,68.4
2-TRH000.40,CHLa,3.24,22.750555555555554,16.42,72.6
2-WLN007.36,CHLa,0.64,2.2872222222222223,1.8849999999999998,7.71
2-XDD000.40,CHLa,2.32,171.26776119402984,123,1148.1
2-XLU000.10,CHLa,2.62,19.81436507936508,17.16,68.2
2-XLV002.27,CHLa,0.25,3.076551724137931,1.46,16.96
2-XLW000.60,CHLa,2.56,13.11462962962963,10.4,44.7
2-XMW000.72,CHLa,0.5,7.703333333333333,2.13,45.89
3-HNT000.92,CHLa,1.14,2.6436206896551724,2.17,8.055
3-MOT000.39,CHLa,1.23,4.719361702127659,2.79,29.83
3-MOT001.19,CHLa,1.23,4.7948,3.01,17
3-MTN024.05,CHLa,2.62,16.7475,14.14,55.5
3-MTN028.68,CHLa,2.19,15.044358974358975,11.9,51.9
4ABAN012.46,CHLa,2.48,11.359107142857143,10.3,23.92
4ABAU005.34,CHLa,0.66,2.9306896551724138,2.39,8.29
4ABSA000.62,CHLa,0.11,2.679661654135338,2.15,15.24
4ABWR002.50,CHLa,0.04,2.5023664122137403,2.1,9.81
4ABWR010.55,CHLa,0,4.742556390977444,4.04,32.6
4ABWR017.42,CHLa,2.05,13.27422480620155,12.89,34.1
4ACCK001.80,CHLa,0.41,1.8022222222222222,1.58,5.14
4ACOA000.60,CHLa,0.09,2.5359160305343513,2.12,16.77
